date_column,site,category,brand,model_name,product_title,price_usd,os,ram_gb,storage,screen_size_in,resolution,refresh_rate_hz,cpu_speed_ghz,connectivity_technology,cpu_model,color,wireless_carrier,cellular_technology,all_reviews,rate,discount
2024-09-06,amazon_egy,mobile phones,xiaomi,redmi-note-11s,"xiaomi redmi note11s, 8gb ram, 128gb rom - graphite grey",9999.0,,8,128,6.43,1080 x 2400,90,,,snapdragon,,,,"[{'reviewer': 'mahmoud ashraf', 'rating': '5.0 ', 'date': 'reviewed in egypt on 13 february 2023', 'review': 'الموبايل من غير ضمان'}, {'reviewer': 'محمد زغلول', 'rating': '4.0 ', 'date': 'reviewed in egypt on 27 november 2022', 'review': 'التلفون ممتاز بس بيسخن شويه'}, {'reviewer': 'berty', 'rating': '4.0 ', 'date': 'reviewed in egypt on 17 june 2022', 'review': 'جاك السماعه بيعلق وبيسخن'}, {'reviewer': 'mahmoud safi', 'rating': '1.0 ', 'date': 'reviewed in egypt on 9 november 2022', 'review': 'بدون ضمان / ضمان دولي'}, {'reviewer': 'ibrahim elmallah', 'rating': '5.0 ', 'date': 'reviewed in egypt on 16 august 2022', 'review': 'منتج رائع وخدمة توصيل ممتازة'}]",4.6,0.0
2024-09-06,amazon_egy,mobile phones,apple,14 plus,"new apple iphone 14 plus (128 gb) - blue, bluetooth, wi-fi",35550.0,ios 16,0,128,6.7,2160 x 1080,120,,"bluetooth, wi-fi",a13,blue,cellular,5g,"[{'reviewer': 'ebraam', 'rating': '5.0 ', 'date': 'reviewed in egypt on 14 july 2023', 'review': 'البائع آمين فى عرض وتسليم السلعة\nالمنتج جديد تماما ولا توجد به اى ملاحظات\nشكرا'}, {'reviewer': 'mahmoud', 'rating': '5.0 ', 'date': 'reviewed in egypt on 13 may 2023', 'review': 'battery and software so perfect'}, {'reviewer': 'atef aziz tadros', 'rating': '4.0 ', 'date': 'reviewed in egypt on 13 june 2024', 'review': 'الجهاز ممتاز\nلكن أين الفاتوره الالكترونيه والضمان'}, {'reviewer': 'omer ahmed', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 24 july 2024', 'review': 'ممتاز'}, {'reviewer': 'the camera quality is so bad i want to return the i phone 14 plus', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 23 june 2024', 'review': 'camera quality is so bad i phone 14 plus is not good in amazon online shopping'}]",4.5,0.0
2024-09-06,amazon_egy,mobile phones,samsung,a55 5g,"samsung galaxy a55 5g, android smartphone, dual sim mobile phone, 8gb ram, 256gb storage, awesome lemon - 1 year warranty",19999.0,android 11.0,8,256,6.5,,0,2.3 ghz,"bluetooth, wi-fi",snapdragon,awesome lemon,cellular,5g,"[{'reviewer': 'mahmoud kaliouby', 'rating': '1.0 ', 'date': 'reviewed in egypt on 27 august 2024', 'review': 'منتج مزيف داخل العلبة موبايل تقليد'}, {'reviewer': 'أيمن خطاب', 'rating': '5.0 ', 'date': 'reviewed in egypt on 27 june 2024', 'review': 'منتج جيد وبالتقسيط بدون فوائد ومغلق بشكل جيد'}, {'reviewer': 'شركة اتحاد الفنية للتجارة', 'rating': '5.0 ', 'date': 'reviewed in saudi arabia on 29 june 2024', 'review': '💯'}, {'reviewer': 'maher', 'rating': '5.0 ', 'date': 'reviewed in the united arab emirates on 30 july 2024', 'review': 'رائع وممتاز شكرا امازون'}, {'reviewer': 'sabith', 'rating': '3.0 ', 'date': 'reviewed in the united arab emirates on 29 june 2024', 'review': 'made in india'}]",3.9,15.0
2024-09-06,amazon_egy,mobile phones,wironics,,"wironics uni - x1 2022-1.77in, dual sim - dark grey",600.0,,0,32,1.7,,120,,,snapdragon,grey,,2g,"[{'reviewer': 'عبدالله', 'rating': '2.0 ', 'date': 'reviewed in egypt on 25 june 2024', 'review': 'على قد فلوسه'}, {'reviewer': 'ahmed', 'rating': '3.0 ', 'date': 'reviewed in egypt on 31 december 2022', 'review': ""price is fair but the storage isn't enough to use some features+ the firmware is so old + the plastic material is bad (can harm human skin)""}, {'reviewer': 'osama mohamed', 'rating': '5.0 ', 'date': 'reviewed in egypt on 16 october 2022', 'review': 'حجمه مناسب'}, {'reviewer': 'بحر', 'rating': '5.0 ', 'date': 'reviewed in egypt on 23 march 2023', 'review': 'مفهوش عيوب والاوبشن لا بأس به'}]",2.8,0.0
2024-09-06,amazon_egy,mobile phones,xiaomi,redmi 13c,"xiaomi redmi 13c dual sim smartphone with 6gb ram, 128gb rom, 6.74-inch display, 4g connectivity, high-resolution camera, efficient performance, sleek design midnight black enhanced mobile experience",5715.0,android 13.0,6,128,6.74,1080 x 2400,90,,bluetooth,snapdragon,midnight black,"bluetooth, wifi hotspot",,"[{'reviewer': 'mostafa ahmed', 'rating': '5.0 ', 'date': 'reviewed in egypt on 16 august 2024', 'review': 'وصل التليفون مظبوط واقل سعر معروض فى نسخه 8gb رامات و 256 gb ذاكرة داخليه\nشكرا امازون'}, {'reviewer': 'هيثم حسني سعد', 'rating': '1.0 ', 'date': 'reviewed in egypt on 15 july 2024', 'review': 'اول ما اشتريتو لموبيل بيهنج والشاشة تثبت ويعمل رستارة كل فترة وعملة ارجاع والمندوب جاى يستلم الموبيل. ملوحظة مساحته 256رمات8معالج هيلوتك مش سناب درجون ويفى يعمل جيد'}, {'reviewer': 'amir albaroudy', 'rating': '5.0 ', 'date': 'reviewed in egypt on 9 august 2024', 'review': 'التليفون جاي متبرشم حالة ممتازة الجهاز مقارنة بسعره ممتاز العيب ان الشاشة كبيرة بزيادة لا تناسب الايدي الصغيرة بالإضافة إلى ان اندرويد ١٤ صعب فهمه نسبيا بعض الخصائص والاعدادات لا يتم الوصول اليها بسهولة جودة الخامات مقبولة جدا مقارنة بالسعر'}, {'reviewer': 'user-mk5ftq1', 'rating': '4.0 ', 'date': 'reviewed in egypt on 28 july 2024', 'review': 'كويس للاستعمال اليومي شاشه كبيرة صوت ضعيف شويه'}, {'reviewer': 'هشام الزواوي', 'rating': '5.0 ', 'date': 'reviewed in egypt on 30 june 2024', 'review': 'السعر 6149 مصري ممتاز ذاكرة 128 رام 6 ويمكن مصاعفته الي 12 من الاعدادات الكاميرا متوسطه والبطاريه كويسه والشحن سريع بس الشاحن المرفق مش سريع أقل من 10واط رغم ان الهاتف يدعم 18واط بصراحه كل شيء ممتاز ماعدا الشاحن والكاميرا.\nالاندرويد 13يقبل التحديث ل 14 البصمة جانبيه وسريعه الصوت حلو بس مش اقوي حاجة'}]",3.5,25.0
2024-09-06,amazon_egy,mobile phones,itel,galaxy s23,"itel s23 4gb ram + 128gb rom, up to 8gb ram with memory fusion | 50mp ai dual rear camera | 5000mah battery with type-c charging - starry black",4849.0,android 12.0,16,128,6.6,,0,,यएसबी टाइप सी,snapdragon,starry black,,4g,"[{'reviewer': 'جامد', 'rating': '5.0 ', 'date': 'reviewed in egypt on 28 april 2024', 'review': 'جامد'}]",5.0,0.0
2024-09-06,amazon_egy,mobile phones,l8star,mini mobile phone bm10,l8star mini mobile phone bm10,470.0,unavailable,4,512,0.66,,120,,"bluetooth, usb",a10,orange,cellular,2g,"[{'reviewer': 'user-m5kwba1', 'rating': '3.0 ', 'date': 'reviewed in egypt on 22 march 2023', 'review': 'صعب تسجيل الارقام عليه'}, {'reviewer': 'ahmed ismail', 'rating': '4.0 ', 'date': 'reviewed in egypt on 22 march 2022', 'review': 'جميل وصغير يمكنك تعليقه في المفاتيح او استخدامه كسماعة اذن ويركب به خطين ويتصل باي هاتف بالبلوتوث'}, {'reviewer': 'user-mdg9eg1', 'rating': '5.0 ', 'date': 'reviewed in egypt on 11 april 2020', 'review': 'جميييل'}, {'reviewer': 'user-mkqdgf', 'rating': '3.0 ', 'date': 'reviewed in egypt on 17 march 2022', 'review': 'الموبايل وصلني كويس وصوته عالي بس مشكلته ناقص العلاقه بتاعه جراب البلوتوث'}, {'reviewer': 'mostafa mesallam', 'rating': '4.0 ', 'date': 'reviewed in egypt on 21 november 2021', 'review': 'هل اقدر اسجل من عليه محاضرات ؟'}]",3.4,0.0
2024-09-06,amazon_egy,mobile phones,samsung,s24 ultra,"samsung galaxy s24 ultra, ai android smartphone, 256gb storage, 12gb ram, 200mp camera, s pen, long battery life, titanium black - 1 year local warranty",46976.0,android,12,256,6.8,1440 x 3120,492,1.8 ghz,wi-fi,qualcomm snapdragon s1 qsd8650,titanium black,cellular,,"[{'reviewer': 'mohamed s.', 'rating': '5.0 ', 'date': 'reviewed in egypt on 14 august 2024', 'review': 'الشاشة ممتازة .بطارية جيدة جدا'}, {'reviewer': 'ahmed', 'rating': '5.0 ', 'date': 'reviewed in egypt on 4 august 2024', 'review': 'سعر و توصيل و تغليف و منتج اصلي ١٠٠ بالميه'}, {'reviewer': 'osama', 'rating': '1.0 ', 'date': 'reviewed in egypt on 4 august 2024', 'review': ""the display has terrible viewing angel color shifting, if you tilt the phone even 2 degres everything became bluish like it is almost a lcd (probably due to the anti reflective coating they used ) plus the phone overheats from almost anything opening gallery made it reach 47 .the s pen smells like burned plastic and it is quit noticable ....sent this trash back after one day and ordered oneplus 12 and i'm happy with it.""}, {'reviewer': 'mohammad kordi', 'rating': '5.0 ', 'date': 'reviewed in egypt on 26 july 2024', 'review': 'الجوال أصلي وليس به اي عيب وممتاز'}, {'reviewer': 'esam abdel fattah', 'rating': '5.0 ', 'date': 'reviewed in egypt on 4 march 2024', 'review': 'الموبايل بصراحه ابهجنى جدا وأنصح باللون البنفسجي ومع انى كنت خايف منه انه يكون فاقع لكن اتفاجئت بيه الصراحه لون رائع جدا\nطبعا التغليف والشحن من امازون اقل شئ اميتاز'}]",4.1,0.0
2024-09-06,amazon_egy,mobile phones,apple,11,"apple iphone 11 with facetime - 128gb, 4gb ram, 4g lte, white, single sim & e-sim",21550.0,ios 12,4,128,6.1,1280 x 720,60,,"bluetooth, wi-fi, usb, nfc",a13,white,cellular,,"[{'reviewer': 'samir', 'rating': '5.0 ', 'date': 'reviewed in egypt on 11 march 2023', 'review': 'ممتاز'}, {'reviewer': 'mohamed samir', 'rating': '5.0 ', 'date': 'reviewed in egypt on 26 november 2022', 'review': 'اشكركم علي التعاون بتسليم المنتج المطلوب 🙏'}, {'reviewer': 'sameh halim', 'rating': '5.0 ', 'date': 'reviewed in egypt on 3 january 2023', 'review': 'جيد'}, {'reviewer': 'user-mbry641', 'rating': '4.0 ', 'date': 'reviewed in egypt on 8 march 2020', 'review': 'وصلني بوقت سريع جدا ممتاز ورائع'}, {'reviewer': 'user-ms6zbc', 'rating': '5.0 ', 'date': 'reviewed in egypt on 10 may 2022', 'review': 'بائع صادق و التلفون اصلى وكل حاجة حسب الوصف.'}]",4.4,0.0
2024-09-06,amazon_egy,mobile phones,samsung,fold 4,"z fold 4 5g 12+ 512gb beige, bluetooth",55950.0,android 10.0,12,512,7.6,2160 x 1080,120,2.84 ghz,bluetooth,snapdragon,multi,cellular,,"[{'reviewer': 'blessed', 'rating': '5.0 ', 'date': 'reviewed in the united states on 22 october 2022', 'review': 'after reading the reviews, both positive and negative i rolled the dice, and honestly, this phone is amazing! it is not that heavy, yes the main screen is not as wide as the note, however, it is very easy to get used to. the downside is the updates take a while when you first begin. the upside, however, it is sleek, has multiple cameras, and has many new features, that will be exciting to use. for a person who is 35 plus, i would recommend the phone due to the fact that the screen is larger and there is no strain on the eyes. pricey? not really, considering apple is equally priced with fewer bells and whistles. if i could give this phone a 10, i definitely would. quite happy with the purchase.'}, {'reviewer': 'paul kennedy', 'rating': '5.0 ', 'date': 'reviewed in the united states on 24 may 2023', 'review': 'shipping was fast and reliable. unboxing the phone for the first time i was amazed at how lightweight and high quality this new model was. charging was fast and efficient and transferring data from old device to new was seamless and worked well. brightness and responsiveness is awesome'}, {'reviewer': 'mayank g.', 'rating': '1.0 ', 'date': 'reviewed in the united arab emirates on 23 april 2023', 'review': 'received a phone with protection seal broken. will suggest to avoid'}, {'reviewer': 'marcus', 'rating': '5.0 ', 'date': 'reviewed in the united states on 25 march 2023', 'review': ""i really didn't need the phone, i work in it and just enjoy tech, so i didn't have any expectations when purchasing the phone, being i was satisfied with my s22 i didnt even know this phone existed. i must say after having it for a week it will be very hard to go back to the s22 ultra , lol.\n\nupdate :\ni've had the phone for a month now and in the beginning i really didn't understand it's full capabilities until i purged myself totally of using my galaxy s22. using this device open and the task bar and multi-tasking has been amazing and i'm not sure i could ever use a non folding device from this point forward! i would highly recommend trying a fold.""}, {'reviewer': 'enrique', 'rating': '1.0 ', 'date': 'reviewed in the united states on 23 april 2023', 'review': 'phone is really nice, but not worth 1800$ for the defects it has after 4 weeks of ownership. it has a lots of software issues and touch issues with false touch and accuracy.'}]",4.2,0.0
