date_column,site,category,Title,Rate,Price,Price Before Discount,Discount,Image URL,Description,Brand Name,Operating System,RAM Memory Installed,CPU Model,CPU Speed,Memory Storage Capacity,Screen Size,Resolution,Refresh Rate,Model Name,Batteries,Package Dimensions,Date First Available,Manufacturer,ASIN,Item model number,reviews,Item Weight,Manufacturer reference,Country of origin,Compatible Phone Models,Color,Material,Form Factor,Included Components,Compatible Devices,Pattern,Embellishment Feature,Wireless Provider,OS,RAM,Product Dimensions,Wireless communication technologies,Connectivity technologies,Special features,Other display features,Human interface input,Scanner Resolution,Other camera features,Form factor,Phone Talk Time,Whats in the box,Customer Reviews,Best Sellers Rank,Cellular Technology,Connectivity Technology,SIM Card Slot Count,Connector Type,Audio Jack,Battery Power Rating,Is Discontinued By Manufacturer,GPS,Department,Special Features,Capacity,Style,Recommended Uses For Product,Occasion,Item Shape,Product Care Instructions,Brand,Model Number,Compatible Models,Unit Count,Number of Items,Produce Sold As Format,Number of Pieces,Units,Age Range Description,Water Resistance Level,Item Dimensions,Theme,Item Hardness,Item Dimensions L x W,Finish Type,Screen Surface Description,Clarity,Material Composition,Communication technology,Batteries required,Battery type,Battery life,Display type,Subject Character,Wireless Network Technology,Display technology,Language,League Name
2024-09-06,amazon_egy,mobile phones,Infinix Smart 6 Plus Dual SIM 3GB Ram+64GB ROM (6.82 Inches) (4G) - (Miracle Black),5.0,"4,550",,,https://m.media-amazon.com/images/I/61vOGWst6-L._AC_SY355_.jpg,"About this item
smart 6 plus 3+64 black
smart 6 plus 2+64 blue.",Infinix,Android 10.0,3 GB,Snapdragon,2.05 GHz,4 GB,6.82 Inches,1440 x 2880,60 Hz,smart 6 plus 3+64 black,1 Lithium Ion batteries required. (included),19.9 x 9.8 x 6.9 cm; 800 g,22 January 2023,Infinix,B0BSTL1W2L,84286,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع سامسونج جلاكسى M52 5G ، - غطاء حماية مصقول مقاوم للصدمات رفيع للغاية شديد التحمل من ألياف الكربون المصقولة - غطاء واقي مضاد للخدش و مقاوم للانزلاق - أسود,5.0,269,,,https://m.media-amazon.com/images/I/61X9OVAK1XL._AC_SY355_.jpg,0,,,,,,,,,,,,,30 August 2024,0,B0DFQJRZNN,,[],30 g,0,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع ريلمى C65 4G ، - غطاء حماية مصقول و مقاوم للصدمات رفيع للغاية من ألياف الكربون المصقولة - غطاء واقي مضاد للخدش شديد التحمل و مقاوم للانزلاق من Graby Shop - أسود,Previous page,299,,,https://m.media-amazon.com/images/I/51TbWCVFLRL._AC_SY355_.jpg,غطاء حماية مصقول مقاوم للصدمات شديد التحمل و مقاوم للانزلاق,,,,,,,,,,,,,21 August 2024,,B0DDTC2RQR,,[],30 g,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع شاومى Mi 8 Lite ، - غطاء حماية مصقول و مقاوم للصدمات رفيع للغاية من ألياف الكربون المصقولة - غطاء واقي مضاد للخدش شديد التحمل و مقاوم للانزلاق من Graby Shop - أسود,Previous page,299,,,https://m.media-amazon.com/images/I/615Yaw3+9jL._AC_SY355_.jpg,غطاء حماية مصقول مقاوم للصدمات شديد التحمل و مقاوم للانزلاق,,,,,,,,,,,,,21 August 2024,0,B0DDSH3L4S,,[],30 g,0,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع سامسونج جلاكسى M52 5G ، - غطاء حماية مصقول مقاوم للصدمات رفيع للغاية من ألياف الكربون المصقولة - غطاء واقي مضاد للخدش شديد التحمل و مقاوم للانزلاق - أسود,5.0,269,,,https://m.media-amazon.com/images/I/61X9OVAK1XL._AC_SY355_.jpg,0,,,,,,,,,,,,,30 August 2024,0,B0DFQK1QWQ,,[],30 g,0,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع شاومى Redmi Turbo 3 5G ، - غطاء حماية مصقول مقاوم للصدمات بنمط جلدي مع حماية فائقة للكاميرا - غطاء واقي مضاد للخدش شديد التحمل مقاوم للانزلاق من Graby Shop - أسود,Previous page,349,,,https://m.media-amazon.com/images/I/61ocsVa+fYL._AC_SX355_.jpg,غطاء حماية مصقول مقاوم للصدمات شديد التحمل و مقاوم للانزلاق مع حماية فائقة للكاميرا,,,,,,,,,,,,,22 August 2024,0,B0DF1F35VT,,[],30 g,0,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع هاتف شاومى Redmi Note 12 Pro speed ، جراب بنمط ألياف الكربون ، جراب مضاد للانزلاق ، جراب رفيع وممتص للصدمات - أسود,Previous page,357,,,https://m.media-amazon.com/images/I/41Ea0YKoV5L._AC_SY355_.jpg,"About this item
منتج عالي الجودة يوفر حماية للجهازمضاد للصدمات ومضاد للانزلاق تصميمة مميزة وانيق وشديد الامتصاص للصدمات",Generic,,,,,,,,,Xiaomi Redmi Note 12 Pro speed,,,25 August 2024,Generic,B0DF6LGQ6C,,[],0.03 g,00000,China,Xiaomi Redmi Note 12 Pro speed,Black,Leather,Basic Case,Holster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع سامسونج جلاكسى S24 5G - غطاء مزدوج الحماية مقاوم للصدمات مع غطاء حماية منزلق للكاميرا يغلق بإحكام - غطاء شديد التحمل مقاوم للانزلاق مع حلقة معدنية من Graby Shop - أسود,5.0,499,,,https://m.media-amazon.com/images/I/51o4RSxgvYL._AC_SY355_.jpg,غطاء حماية مصقول مقاوم للصدمات مع غطاء حماية منزلق للكاميرا يغلق بإحكام,,,,,,,,,,,,,26 August 2024,0,B0DF75Y325,,[],30 g,0,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع Samsung Galaxy S21 FE ، - غطاء مزدوج الحماية مصقول مقاوم للصدمات شديد التحمل و مقاوم للانزلاق مع حماية فائقة للكاميرا - غطاء أصلي جديد من Graby Shop - اسود,Previous page,329,,,https://m.media-amazon.com/images/I/51KC73Jcs+L._AC_SY355_.jpg,"About this item
Compatible phone models: Samsung Galaxy S21 FE
Form factor: 0",Generic,,,,,,,,,,,,25 December 2023,0,B0CQX7M9RY,,[],30 g,0,China,Samsung Galaxy S21 FE,,,,,Mobiles,Solid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,amazon_egy,mobile phones,جراب متوافق مع ASUS ROG Phone 7 / ASUS ROG Phone 7 Pro ، - غطاء حماية مصقول مقاوم للصدمات شديد التحمل رفيع للغاية من ألياف الكربون المصقولة - جراب فائق الجودة مقاوم للانزلاق من Graby Shop - أسود,5.0,299,,,https://m.media-amazon.com/images/I/61p2+SrXOtL._AC_SY355_.jpg,غطاء حماية مصقول مقاوم للصدمات شديد التحمل و مقاوم للانزلاق,,,,,,,,,,,,,29 August 2024,0,B0DFMJH1ZP,,[],30 g,0,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
